Date: Fri Apr 29 15:56:59 2022
CHIP_ID: 20UPI7000004
Temperature: 20C

Current,Voltage
2.5,1.643
2.4,1.612
2.3,1.58
2.2,1.549
2.1,1.518
2.0,1.487
1.9,1.457
1.8,1.426
1.7,1.396
1.6,1.361
1.5,1.315
1.4,1.192
1.299,1.166
1.2,1.138
1.1,1.113
1.0,1.007
0.9,0.799
0.8,0.791
0.7,0.783
0.6001,0.773
0.5001,0.763
0.4,0.751
0.3001,0.736
0.2,0.717
0.1,0.687
