Date: Wed Mar  2 14:09:09 2022
CHIP_ID: 0
Temperature: 20C

Current,Voltage
3.3,1.653
3.2,1.63
3.1,1.606
3.0,1.582
2.9,1.558
2.8,1.535
2.7,1.511
2.6,1.487
2.5,1.462
2.4,1.43
2.3,1.392
2.2,1.194
2.1,1.171
2.0,1.148
1.9,1.124
1.8,1.101
1.7,1.079
1.6,1.038
1.5,1.019
1.4,0.911
1.3,0.881
1.2,0.845
1.1,0.834
1.0,0.824
0.9001,0.814
0.8001,0.803
0.7,0.792
0.6001,0.78
0.5001,0.776
0.4,0.761
0.3001,0.742
0.2001,0.719
0.1001,0.683
